958 2528
268 388 73
384 151 587
880 725 68
781 366 605
801 549 675
687 173 546
936 415 695
152 413 758
590 250 653
218 310 472
728 480 554
876 864 310
171 496 423
612 266 627
573 633 121
94 428 731
618 43 245
517 140 949
535 551 692
327 955 903
565 356 887
486 628 306
914 468 191
787 94 563
386 322 258
742 851 127
130 83 972
911 301 484
616 926 758
801 154 738
831 436 9
10 740 404
636 611 132
753 259 662
763 398 670
637 954 891
911 174 844
543 435 849
444 417 939
691 93 375
30 198 688
264 168 801
119 351 764
13 110 683
642 329 4
421 135 920
303 75 126
250 453 451
735 285 40
581 719 263
284 339 682
405 570 709
600 581 433
797 600 699
699 747 975
692 287 9
200 659 232
161 123 620
626 327 997
793 824 305
444 945 73
277 333 709
138 372 656
560 955 276
448 526 40
171 710 549
564 739 468
333 505 901
743 20 742
820 681 607
44 64 822
829 57 715
633 367 464
443 758 151
224 785 22
813 59 250
251 581 443
871 728 827
620 344 332
237 217 818
395 285 966
640 241 146
506 110 417
604 7 40
829 667 468
589 86 772
900 145 286
508 602 618
268 482 16
663 462 966
625 51 430
624 372 723
756 901 38
593 240 922
253 815 632
553 305 159
453 296 202
104 473 900
94 832 640
320 623 846
129 636 351
539 197 188
627 326 648
138 74 616
90 853 458
461 941 140
110 630 42
864 92 532
478 383 793
464 956 111
249 654 787
467 103 787
27 845 583
713 23 728
790 883 401
546 950 920
111 601 545
865 295 253
804 836 623
583 57 314
166 554 503
513 560 266
626 601 580
927 800 676
899 573 501
171 262 509
245 231 37
501 737 468
488 186 344
64 923 63
18 43 417
553 31 569
313 671 852
958 692 805
860 614 23
550 529 742
101 281 974
745 726 190
32 287 452
44 99 279
292 441 137
388 927 409
629 214 242
368 610 755
601 615 253
745 647 16
366 618 579
622 391 959
916 686 949
170 670 166
341 496 49
117 250 77
652 694 904
270 853 89
258 269 708
182 772 848
668 762 929
233 793 66
557 363 650
116 442 538
801 335 32
830 239 114
860 66 968
597 62 75
185 617 783
381 644 33
340 362 535
88 676 285
2 496 401
289 355 214
254 399 468
860 178 153
498 652 270
155 414 787
318 101 974
148 684 601
481 845 624
255 96 440
409 443 77
749 671 215
936 551 402
282 773 272
479 347 164
590 427 132
865 317 806
852 51 220
652 946 258
197 941 96
647 17 667
247 672 633
916 744 314
713 952 988
645 542 461
849 890 871
784 173 741
348 828 775
586 780 514
